id,qr_code_uid,qr_code_name
L000557-capitol,2017/03/18/2ncgy99mpg_L000557_capitol.png,L000557-capitol.png
L000566-capitol,2017/03/18/1wmug9rigc_L000566_capitol.png,L000566-capitol.png
L000577-capitol,2017/03/18/2k3gyj16vb_L000577_capitol.png,L000577-capitol.png
L000576-capitol,2017/03/18/2vn3hgo3o5_L000576_capitol.png,L000576-capitol.png
L000174-capitol,2017/03/18/4glx91vmmk_L000174_capitol.png,L000174-capitol.png
L000263-capitol,2017/03/18/8gbtmyt7py_L000263_capitol.png,L000263-capitol.png
L000565-capitol,2017/03/18/1wr7afr7w1_L000565_capitol.png,L000565-capitol.png
L000491-capitol,2017/03/18/79tbvn343i_L000491_capitol.png,L000491-capitol.png
H000874-capitol,2017/03/18/7axpeaz7gg_H000874_capitol.png,H000874-capitol.png
H001061-capitol,2017/03/18/6i1yb91dsm_H001061_capitol.png,H001061-capitol.png
L000562-capitol,2017/03/18/819j1bag1s_L000562_capitol.png,L000562-capitol.png
C001088-capitol,2017/03/18/3eu9qtv603_C001088_capitol.png,C001088-capitol.png
I000055-capitol,2017/03/18/1dwwdwjnz2_I000055_capitol.png,I000055-capitol.png
H001046-capitol,2017/03/18/2dabtum7tm_H001046_capitol.png,H001046-capitol.png
M001165-capitol,2017/03/18/4z2l5qqagk_M001165_capitol.png,M001165-capitol.png
M000312-capitol,2017/03/18/6xnws3hcqn_M000312_capitol.png,M000312-capitol.png
M001159-capitol,2017/03/18/79jhy6nbxm_M001159_capitol.png,M001159-capitol.png
M001166-capitol,2017/03/18/6f5c9n6kz6_M001166_capitol.png,M001166-capitol.png
M001181-capitol,2017/03/18/2llh643seh_M001181_capitol.png,M001181-capitol.png
M001137-capitol,2017/03/18/165u6a020x_M001137_capitol.png,M001137-capitol.png
M001160-capitol,2017/03/18/6h0lk04keo_M001160_capitol.png,M001160-capitol.png
M000934-capitol,2017/03/18/6xo9ocmmoh_M000934_capitol.png,M000934-capitol.png
M001153-capitol,2017/03/18/64oijfeh7_M001153_capitol.png,M001153-capitol.png
M001151-capitol,2017/03/18/1e0ddjgaiy_M001151_capitol.png,M001151-capitol.png
M001111-capitol,2017/03/18/1kzrso2nhb_M001111_capitol.png,M001111-capitol.png
N000184-capitol,2017/03/18/9m3tgpav9f_N000184_capitol.png,N000184-capitol.png
N000147-capitol,2017/03/18/7trnwkzz35_N000147_capitol.png,N000147-capitol.png
N000181-capitol,2017/03/18/2kwyhpww4s_N000181_capitol.png,N000181-capitol.png
P000593-capitol,2017/03/18/8pf7makzht_P000593_capitol.png,P000593-capitol.png
P000258-capitol,2017/03/18/3u0tk5r76l_P000258_capitol.png,P000258-capitol.png
O000168-capitol,2017/03/18/1617nurlo7_O000168_capitol.png,O000168-capitol.png
P000601-capitol,2017/03/18/637yywhl5t_P000601_capitol.png,P000601-capitol.png
P000096-capitol,2017/03/18/2jouh1jui9_P000096_capitol.png,P000096-capitol.png
P000588-capitol,2017/03/18/6aft080m1y_P000588_capitol.png,P000588-capitol.png
P000592-capitol,2017/03/18/90bwnvjwl0_P000592_capitol.png,P000592-capitol.png
P000599-capitol,2017/03/18/4kfv2tyvhh_P000599_capitol.png,P000599-capitol.png
M001163-capitol,2017/03/18/53cawjl45a_M001163_capitol.png,M001163-capitol.png
P000523-capitol,2017/03/18/8u82toot8b_P000523_capitol.png,P000523-capitol.png
R000586-capitol,2017/03/18/3j7iwoqzt9_R000586_capitol.png,R000586-capitol.png
B001267-capitol,2017/03/18/xomqk3bph_B001267_capitol.png,B001267-capitol.png
M000303-capitol,2017/03/18/w35aqs602_M000303_capitol.png,M000303-capitol.png
M001179-capitol,2017/03/18/2bxsz51xxk_M001179_capitol.png,M001179-capitol.png
R000592-capitol,2017/03/18/3hhinozs90_R000592_capitol.png,R000592-capitol.png
R000580-capitol,2017/03/18/9a3qvcsms0_R000580_capitol.png,R000580-capitol.png
R000593-capitol,2017/03/18/15ky8tltfe_R000593_capitol.png,R000593-capitol.png
R000487-capitol,2017/03/18/5b870ayppz_R000487_capitol.png,R000487-capitol.png
R000595-capitol,2017/03/18/86g273s10e_R000595_capitol.png,R000595-capitol.png
R000570-capitol,2017/03/18/7qjz1wii1_R000570_capitol.png,R000570-capitol.png
R000577-capitol,2017/03/18/84o8tck2ny_R000577_capitol.png,R000577-capitol.png
